"","Symbol","Chr","Length","Description","Type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mx2","Mx2","chr16",2422,"MX dynamin-like GTPase 2","protein-coding",-3.96046439269051,-1.36590694256585,-4.44327381953605,0.00182145682012706,0.00788598068041563,-0.9702735642071
"Cdk2ap2","Cdk2ap2","chr19",911,"CDK2-associated protein 2","protein-coding",-2.09563212628227,5.07495200017211,-5.02581430539183,0.000853134454272183,0.00461040405923828,-0.971732691854773
"Hnrnpk","Hnrnpk","chr13",1978,"heterogeneous nuclear ribonucleoprotein K","protein-coding",0.76695971098345,8.25634257346066,5.0561345745874,0.000795086464588696,0.00438432466872095,-0.972263243309764
"Kti12","Kti12","chr4",1556,"KTI12 homolog, chromatin associated","protein-coding",0.955589497339806,6.41603074323929,5.00667620124526,0.000848376486097774,0.00459939794247314,-0.972939052674802
"Cib1","Cib1","chr7",837,"calcium and integrin binding 1 (calmyrin)","protein-coding",-1.30873811432916,5.20340915003328,-5.00740230487274,0.000847566707508239,0.00459922349318144,-0.97356229363545
"Lpar6","Lpar6","chr14",2468,"lysophosphatidic acid receptor 6","protein-coding",-1.78654752547141,4.82273805079718,-4.98610546218517,0.000871669502986284,0.00468709217819063,-0.97519649248412
"Nom1","Nom1","chr5",3542,"nucleolar protein with MIF4G domain 1","protein-coding",1.08564050621364,6.66155055227401,5.01387497308269,0.000840385026217333,0.00457257381870606,-0.975691890810164
"Zfp788","Zfp788","chr7",3833,"zinc finger protein 788","protein-coding",-1.01918546368495,4.24987399755233,-4.89791179211204,0.000979682513228555,0.00510257598665766,-0.979461278844863
"Prkab1","Prkab1","chr5",2051,"protein kinase, AMP-activated, beta 1 non-catalytic subunit","protein-coding",-0.986637582876676,5.32784151139434,-5.00403224372025,0.000851332217832001,0.00460618764197938,-0.979703061143555
"Rrp15","Rrp15","chr1",1213,"ribosomal RNA processing 15 homolog","protein-coding",1.93518838930238,6.22334711117413,4.91654683525149,0.000955707140845936,0.00501307363739687,-0.980675072262176
"E130309D02Rik","E130309D02Rik","chr5",2343,"RIKEN cDNA E130309D02 gene","protein-coding",1.15521361398674,6.68979638706071,5.00775629052098,0.000847172232758665,0.00459922349318144,-0.98261673274659
"Kdm5b","Kdm5b","chr1",6300,"lysine (K)-specific demethylase 5B","protein-coding",-3.1463052409202,1.19982208284885,-4.5930628100446,0.00147989919567054,0.00683625453524476,-0.986605178398111
"Pdlim4","Pdlim4","chr11",1185,"PDZ and LIM domain 4","protein-coding",-5.30399275470241,-4.12180226251663,-7.29842978399515,0.00287207524194231,0.010948218028278,-0.987184946282401
"Aktip","Aktip","chr8",2165,"AKT interacting protein","protein-coding",-1.245290699143,3.44299140692691,-4.79048383734314,0.00113121398602511,0.00563980247236189,-0.987581775330024
"Calhm5","Calhm5","chr10",1786,"calcium homeostasis modulator family member 5","protein-coding",-7.13697651966244,-3.6710598082057,-7.1859383394313,0.00324922793074002,0.0119740558330705,-0.988092885136007
"Tcf7l2","Tcf7l2","chr19",4553,"transcription factor 7 like 2, T cell specific, HMG box","protein-coding",-5.41835932824716,1.073607465076,-4.66903686396459,0.00144494480486972,0.00670916851189681,-0.98965161284413
"Mfsd13a","Mfsd13a","chr19",2280,"major facilitator superfamily domain containing 13a","protein-coding",-2.51879325039123,-0.186306959873261,-4.45660105546586,0.00178787366932269,0.00779801286545552,-0.991508197473952
"Hsp90b1","Hsp90b1","chr10",2759,"heat shock protein 90, beta (Grp94), member 1","protein-coding",-0.956193903945801,9.69150663334914,-5.05012255260126,0.000801366163925601,0.00440996007425236,-0.992627989008288
"Arpc3","Arpc3","chr5",848,"actin related protein 2/3 complex, subunit 3","protein-coding",-0.935987248111731,7.95732364954917,-5.04175432275272,0.000810196620881764,0.00444482307475634,-0.995369053822436
"Pcnp","Pcnp","chr16",2271,"PEST proteolytic signal containing nuclear protein","protein-coding",1.29815283634412,6.92415368743745,5.00439618254477,0.000850924702332691,0.00460582582075273,-0.997590117878254
"Atpaf2","Atpaf2","chr11",1863,"ATP synthase mitochondrial F1 complex assembly factor 2","protein-coding",0.896253924754754,5.6345057452395,4.92250485313317,0.000948176242531755,0.00498844006819917,-0.999688478470548
"Lrp4","Lrp4","chr2",9407,"low density lipoprotein receptor-related protein 4","protein-coding",-3.30301661845421,-0.486617551620026,-4.45206382984798,0.00179923162494098,0.00783128827400381,-1.0009221208947
"Cdc26","Cdc26","chr4",794,"cell division cycle 26","protein-coding",0.955816728157631,5.61311505107599,4.91052531692659,0.000963384107966743,0.00503125396825737,-1.00607553459687
"Gpr146","Gpr146","chr5",4222,"G protein-coupled receptor 146","protein-coding",-2.61006071508664,1.48712439469254,-4.59039995042453,0.0014853300273423,0.00685063634735631,-1.00614940025366
"Thbs3","Thbs3","chr3",3183,"thrombospondin 3","protein-coding",-2.76521440681432,-0.928933559308867,-4.4112424183096,0.00190497765918173,0.00815617572191139,-1.00651731463037
"Bag4","Bag4","chr8",4798,"BCL2-associated athanogene 4","protein-coding",1.47972793852013,5.15484744106018,4.79759091940082,0.00112044396926223,0.00560056299755808,-1.00921504311362
"Pacs2","Pacs2","chr12",5480,"phosphofurin acidic cluster sorting protein 2","protein-coding",-1.45203440176695,5.38714811965146,-4.99506143561734,0.000861444276938766,0.0046441738710084,-1.00940003679351
"Ubr5","Ubr5","chr15",9790,"ubiquitin protein ligase E3 component n-recognin 5","protein-coding",1.02481466899576,8.46622358225001,5.02974733498478,0.000823051520165747,0.00449999175259242,-1.00971611099033
"Prdm10","Prdm10","chr9",3408,"PR domain containing 10","protein-coding",1.30553541860643,3.7153906010847,4.62500288474596,0.00141639981406482,0.00662210991907692,-1.01016518025191
"Rps15a-ps5","Rps15a-ps5","chr5",393,"ribosomal protein S15A, pseudogene 5","protein-coding",1.00456745129462,7.45325349442964,5.02069275396823,0.000832891651840524,0.00453910843391202,-1.01075478854222
"Dlg3","Dlg3","chrX",5636,"discs large MAGUK scaffold protein 3","protein-coding",-5.47075545539303,-1.09752940755169,-4.47640474644068,0.0018126582621452,0.00786551744623403,-1.01214710709607
"Ngdn","Ngdn","chr14",1201,"neuroguidin, EIF4E binding protein","protein-coding",-0.872900932733591,5.93889366759335,-5.00827091930575,0.000846599095092495,0.00459898206699302,-1.01407643632304
"Rab4b","Rab4b","chr7",1170,"RAB4B, member RAS oncogene family","protein-coding",-1.43744030986445,5.14190826420152,-4.97693233215812,0.000882279066961194,0.00472821849559346,-1.01413046727456
"Mcoln2","Mcoln2","chr3",2666,"mucolipin 2","protein-coding",2.28821266278613,6.1819199001688,4.8679626275939,0.00103602379809117,0.00530810071011395,-1.01524087065518
"Setdb1","Setdb1","chr3",4660,"SET domain, bifurcated 1","protein-coding",0.993772425063064,6.96253109672092,5.00244711339651,0.000853109612792599,0.00461040405923828,-1.01688162992205
"Hacl1","Hacl1","chr14",2618,"2-hydroxyacyl-CoA lyase 1","protein-coding",-1.21490524489394,3.14008054720227,-4.72100011330546,0.00124260095155754,0.00602625805810956,-1.01870871871428
"Flt3l","Flt3l","chr7",1075,"FMS-like tyrosine kinase 3 ligand","protein-coding",-1.67649747010254,1.88269925504786,-4.58659464016656,0.00149312815543934,0.00686686591486237,-1.01876113272799
"Cenpi","Cenpi","chrX",3148,"centromere protein I","protein-coding",1.14185830225692,5.54757098699609,4.87724511313892,0.00100703502281298,0.00520295015034555,-1.01990286312712
"Xpo1","Xpo1","chr11",5144,"exportin 1","protein-coding",0.792685444492987,8.82407256303687,5.02409590243099,0.000829178385737297,0.00452434259626876,-1.02034402498938
"Ccdc30","Ccdc30","chr4",2536,"coiled-coil domain containing 30","protein-coding",-4.72447037780111,-2.01081193077044,-4.38967366309735,0.00196353051179923,0.0083487094496973,-1.02055242283887
"Setd6","Setd6","chr8",1669,"SET domain containing 6","protein-coding",2.23696909771927,4.67862844151476,4.65835847064454,0.00135320852286484,0.00639522280239617,-1.02241402133359
"Ints7","Ints7","chr1",3252,"integrator complex subunit 7","protein-coding",1.155216206473,7.16363102663664,5.00009512942151,0.000855754285608657,0.00462013153064958,-1.02469770509383
"Pcdhga2","Pcdhga2","chr18",4537,"protocadherin gamma subfamily A, 2","protein-coding",-3.72434661708389,-3.24931468455925,-4.34614140206207,0.0020876790650588,0.00873646197420614,-1.02497503214164
"Epha1","Epha1","chr6",3273,"Eph receptor A1","protein-coding",-5.44068069775198,-4.08910521231339,-7.15987055016891,0.00306452315428561,0.0114938744990557,-1.02759978372857
"Sdf2","Sdf2","chr11",1268,"stromal cell derived factor 2","protein-coding",-0.928674929438764,4.74372715350241,-4.91815004145674,0.000953674353813589,0.00500762366520914,-1.02799568112604
"Satb1","Satb1","chr17",6788,"special AT-rich sequence binding protein 1","protein-coding",-6.21370347730995,0.0241749745745828,-4.57009344655431,0.0016501612427062,0.0073733741449539,-1.02956762168169
"Dlat","Dlat","chr9",4035,"dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)","protein-coding",1.25736550033308,6.62813838218542,4.96413170794129,0.000897318533867448,0.00478227981727307,-1.03214633298604
"Ccser1","Ccser1","chr6",5654,"coiled-coil serine rich 1","protein-coding",-5.47430350992871,-4.08090666960994,-7.14175880565752,0.00309086999702259,0.0115734293075997,-1.03221106945798
"Duxf3","Duxf3","chr10",2895,"double homeobox family member 3","protein-coding",4.36039089462616,-1.71043825469821,4.53262938279859,0.00220553929637977,0.00910012109440064,-1.03264430846612
"Grin2d","Grin2d","chr7",4383,"glutamate receptor, ionotropic, NMDA2D (epsilon 4)","protein-coding",3.94501312049584,-2.02630349627422,4.53341766506229,0.00220334074352326,0.00909382484529245,-1.03362191875762
"Akap1","Akap1","chr11",3911,"A kinase (PRKA) anchor protein 1","protein-coding",2.10635966786136,6.74646098828476,4.93410839957668,0.000955572643115879,0.00501307363739687,-1.03422127932212
"Tada2a","Tada2a","chr11",2119,"transcriptional adaptor 2A","protein-coding",1.46483146434634,5.40439619594388,4.81566988023111,0.00109354341614216,0.00552993708395809,-1.03603198997518
"Sync","Sync","chr4",2038,"syncoilin","protein-coding",-2.4687599792445,-1.34369536583265,-4.36487250250163,0.00203325715882792,0.00856171599019381,-1.03749354763452
"Eola1","Eola1","chrX",1057,"endothelium and lymphocyte associated ASCH domain 1","protein-coding",-0.981808233238345,3.23469620096265,-4.70258649334682,0.00127406552240941,0.00612829595464163,-1.04259521945571
"Gm2004","Gm2004","chr2",2179,"predicted gene 2004","protein-coding",3.34133454184329,1.82553942674702,4.36631767819189,0.00202912204999816,0.0085549607851653,-1.04397179441937
"Zfp369","Zfp369","chr13",2869,"zinc finger protein 369","protein-coding",1.37950052153332,4.03132959034516,4.63262604292206,0.00140168253478533,0.00657375981714619,-1.04548394184309
"Zfp943","Zfp943","chr17",2734,"zinc finger prtoein 943","protein-coding",-1.58173642250929,3.699802075812,-4.80494939731405,0.00110940961843663,0.00557045105939833,-1.04626360511716
"Crisp1","Crisp1","chr17",1416,"cysteine-rich secretory protein 1","protein-coding",-6.00904507286967,-3.93983094249992,-7.02224404704547,0.00327210195632193,0.012025575034365,-1.04652080429784
"Rnf26","Rnf26","chr9",2271,"ring finger protein 26","protein-coding",0.749820441415297,6.41241286825822,4.96025499894915,0.000901927868534814,0.00480116799624379,-1.05077842113325
"Srsf10","Srsf10","chr4",5499,"serine and arginine-rich splicing factor 10","protein-coding",0.928440710944532,8.31178363469862,4.99881300992212,0.00085719969502062,0.00462497888123456,-1.05260215587674
"Mrps12","Mrps12","chr7",684,"mitochondrial ribosomal protein S12","protein-coding",1.0135372899716,5.01598054016489,4.79264147923128,0.00112793253689711,0.00562759255770694,-1.05524161576196
"G3bp2","G3bp2","chr5",4677,"GTPase activating protein (SH3 domain) binding protein 2","protein-coding",1.24741228194307,7.92942377437117,4.98995539840215,0.000867257931100745,0.00467179063203712,-1.05979507073063
"Sema3b","Sema3b","chr9",3436,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B","protein-coding",-2.51768864705294,-2.24627843567608,-4.32378897908979,0.00215467639140035,0.0089366194748847,-1.06329441420758
"Rev1","Rev1","chr1",4262,"REV1, DNA directed polymerase","protein-coding",1.36908766937375,6.04017369272915,4.88451947828826,0.000997314285255673,0.00516259052486292,-1.0652487304817
"Pcdhb14","Pcdhb14","chr18",3438,"protocadherin beta 14","protein-coding",-6.50307463047546,-3.82869870039195,-6.91613421176634,0.00344439933819096,0.0125125533185599,-1.06602124561144
"Rexo5","Rexo5","chr7",2350,"RNA exonuclease 5","protein-coding",-1.25446991960099,3.08321764523098,-4.68100136376974,0.00131204807753591,0.00624655001984615,-1.06635009510394
"Zc3h6","Zc3h6","chr2",4916,"zinc finger CCCH type containing 6","protein-coding",-1.14375098167036,3.89871381587407,-4.79421318073039,0.00112554868947764,0.00561777180894319,-1.06752072404239
"Prps1l3","Prps1l3","chr12",4006,"phosphoribosyl pyrophosphate synthetase 1-like 3","protein-coding",1.29761527541436,7.59356984701259,4.97851874890177,0.000880434275506853,0.00472169424691106,-1.06823760987543
"Kif23","Kif23","chr9",3426,"kinesin family member 23","protein-coding",0.833065153275963,7.0198048092562,4.97184366848042,0.000888224805991362,0.00475066756400681,-1.06875627579304
"Tank","Tank","chr2",2335,"TRAF family member-associated Nf-kappa B activator","protein-coding",-0.822702911228767,4.3728674565595,-4.8393817088554,0.00105931439577434,0.00539269199746419,-1.06881423145333
"Adam11","Adam11","chr11",5102,"a disintegrin and metallopeptidase domain 11","protein-coding",-5.29491048401643,-4.12180226251663,-7.06104182708048,0.00321183099291649,0.0118750798072802,-1.06963638320712
"5730596B20Rik","5730596B20Rik","chr6",3354,"RIKEN cDNA 5730596B20 gene","ncRNA",-5.29491048401643,-4.12180226251663,-7.06104182708048,0.00321183099291649,0.0118750798072802,-1.06963638320712
"Got1","Got1","chr19",2058,"glutamic-oxaloacetic transaminase 1, soluble","protein-coding",1.47416268170949,7.51820275988853,4.97148636474482,0.000888643916873499,0.00475102981417421,-1.07078671999374
"Camkv","Camkv","chr9",3031,"CaM kinase-like vesicle-associated","protein-coding",5.09156996571342,5.98677461433995,4.58084262279883,0.00162641124818489,0.00729376666225799,-1.07090237307413
"Plekhf1","Plekhf1","chr7",1559,"pleckstrin homology domain containing, family F (with FYVE domain) member 1","protein-coding",-3.92722823361571,0.770749844008257,-4.52726644844883,0.00166287426888647,0.00741058766961568,-1.07101408348122
"H60b","H60b","chr10",952,"histocompatibility 60b","protein-coding",-3.18755335559015,-0.684639530361702,-4.38718261679235,0.00197041649971866,0.0083622101358117,-1.07105434718231
"Taz","Taz","chrX",1854,"tafazzin","protein-coding",-0.991174597280008,5.17926539930941,-4.92873666656056,0.000940367924431216,0.00495127189274718,-1.07129636113123
"Bmp4","Bmp4","chr14",1994,"bone morphogenetic protein 4","protein-coding",-6.86892705739466,-0.235260020171451,-4.52456699951413,0.00175498695190875,0.00768929960361574,-1.07362903830765
"Wdr73","Wdr73","chr7",2587,"WD repeat domain 73","protein-coding",1.07975862375024,5.51073019832191,4.84032826396728,0.00105797226346603,0.00538851660249016,-1.07536399366951
"Pinlyp","Pinlyp","chr7",730,"phospholipase A2 inhibitor and LY6/PLAUR domain containing","protein-coding",-5.35548389020889,0.133484579095742,-4.53328304323097,0.00173437434082491,0.00763361831454869,-1.0756042144603
"Psma3","Psma3","chr12",1434,"proteasome subunit alpha 3","protein-coding",1.32960097679228,6.26719705335645,4.89904027980123,0.00097821227144061,0.00509688174263911,-1.07912734800118
"Pcna","Pcna","chr2",1260,"proliferating cell nuclear antigen","protein-coding",0.721958528649609,8.95645775315111,4.98249285279582,0.000875831233892246,0.00470298415943489,-1.07975491513614
"Taco1","Taco1","chr11",1337,"translational activator of mitochondrially encoded cytochrome c oxidase I","protein-coding",1.37704291260491,4.53009487964043,4.67080120523736,0.00133042038244178,0.00630515737504215,-1.08132804729004
"Psmg1","Psmg1","chr16",985,"proteasome (prosome, macropain) assembly chaperone 1","protein-coding",1.15922011466231,5.73209108300435,4.85455434566022,0.00103802082180976,0.00531229353962519,-1.08193195539972
"Fam98a","Fam98a","chr17",2817,"family with sequence similarity 98, member A","protein-coding",0.714741804836042,6.34707940760882,4.93518644808529,0.000932359720728388,0.00492419975077837,-1.08305898262016
"Smc2","Smc2","chr4",5322,"structural maintenance of chromosomes 2","protein-coding",1.30156748224468,7.94181715976838,4.97233895281899,0.000887644200248477,0.00474944093057367,-1.08434854377155
"Tmem150b","Tmem150b","chr7",3418,"transmembrane protein 150B","protein-coding",-5.20388399683728,-4.14510390304549,-7.03313044739517,0.00325504709075988,0.0119889653266588,-1.08455392790756
"Gabarapl2","Gabarapl2","chr8",980,"gamma-aminobutyric acid (GABA) A receptor-associated protein-like 2","protein-coding",1.22491817114058,4.32324575112715,4.65636446020213,0.00135689940848186,0.00640818613415413,-1.08559286779745
"Tcta","Tcta","chr9",1629,"T cell leukemia translocation altered gene","protein-coding",-1.12695170865671,2.80331849330158,-4.62128732475126,0.00142363338205203,0.00664853295866321,-1.08712919050792
"Qdpr","Qdpr","chr5",1394,"quinoid dihydropteridine reductase","protein-coding",1.32047555002264,6.21738526984396,4.88951555776943,0.000990696833132444,0.00513727698962447,-1.08731705835712
"Dse","Dse","chr10",4225,"dermatan sulfate epimerase","protein-coding",-6.23154154437242,-0.638526646659571,-4.48200233534344,0.0018595205653101,0.008017403559808,-1.08750038159413
"Zfhx2","Zfhx2","chr14",8725,"zinc finger homeobox 2","protein-coding",-1.41967674698353,3.1697232685151,-4.68844691053262,0.001298810182054,0.00620537543164386,-1.09106696606338
"Rabl6","Rabl6","chr2",3155,"RAB, member RAS oncogene family-like 6","protein-coding",0.783729407964469,7.35670021664298,4.96252065705847,0.000899230938966437,0.00478869693807215,-1.09417735880423
"Gemin6-ps","Gemin6-ps","chr6",501,"gem nuclear organelle associated protein 6, pseudogene","protein-coding",3.48766850743386,-1.21475377133993,4.29211015386933,0.00225360823728388,0.00922526096770068,-1.09496526424909
"9030025P20Rik","9030025P20Rik","chr17",2120,"RIKEN cDNA 9030025P20 gene","protein-coding",1.72759726490288,2.80592264029911,4.44626403909723,0.00181386322309231,0.00786569744689902,-1.09603451409181
"Tmem120a","Tmem120a","chr5",1278,"transmembrane protein 120A","protein-coding",-1.54667082125185,3.17030409799095,-4.69275339190657,0.00129121925475658,0.00618659657815866,-1.09686621904535
"Aqr","Aqr","chr2",4886,"aquarius","protein-coding",1.07141461434937,7.50973531926039,4.95965321739703,0.00090264567104252,0.00480246817706279,-1.09708123741994
"Ddx10","Ddx10","chr9",3368,"DEAD box helicase 10","protein-coding",1.0660056294068,6.76700744817966,4.9343227350798,0.00093342783433255,0.00492618179079251,-1.0970939627115
"Usp18","Usp18","chr6",1771,"ubiquitin specific peptidase 18","protein-coding",-4.31451858994904,-1.97718606384675,-4.32924682340618,0.00213810731322805,0.00888698093518491,-1.09735228592351
"Letm2","Letm2","chr8",2100,"leucine zipper-EF-hand containing transmembrane protein 2","protein-coding",-1.45900621425966,0.960047247756598,-4.43108407928546,0.00185276784043844,0.00799593806912487,-1.09756128581632
"Mir1949","Mir1949","chr18",70,"microRNA 1949","ncRNA",2.37177666590743,0.964118725985286,4.31567197569377,0.00217957350180122,0.00902051218789541,-1.0993475296557
"Apba1","Apba1","chr19",6632,"amyloid beta (A4) precursor protein binding, family A, member 1","protein-coding",-5.74504702997369,-1.14978383747159,-4.42113648454165,0.00197889002563315,0.00838238472324119,-1.10071701896078
"Uqcrh","Uqcrh","chr4",546,"ubiquinol-cytochrome c reductase hinge protein","protein-coding",-0.739294575059234,7.35515395228782,-4.96441977476237,0.000896977047159814,0.00478227981727307,-1.10109697788718
"Gp9","Gp9","chr6",811,"glycoprotein 9 (platelet)","protein-coding",-3.95987046300712,-3.8810523351971,-4.28473396565798,0.00227733604333541,0.00929425313671537,-1.10157691957507
"Nudt22","Nudt22","chr19",999,"nudix (nucleoside diphosphate linked moiety X)-type motif 22","protein-coding",-3.76404967073522,-0.00887267915511897,-4.42338053407957,0.00187285342631933,0.00805690460619268,-1.1054229382229
"Bop1","Bop1","chr15",2476,"block of proliferation 1","protein-coding",1.63508671828696,7.79784986659621,4.94941188181918,0.000914956788522664,0.00485523184364794,-1.10818651729302
"Evi2a","Evi2a","chr11",2297,"ecotropic viral integration site 2a","protein-coding",-2.89541985367076,2.19777519783229,-4.62244762996905,0.0014381261415125,0.00669359847139089,-1.108237882518
"Col4a6","Col4a6","chrX",6648,"collagen, type IV, alpha 6","protein-coding",-5.36754868135299,-2.96314725701877,-4.30166337633626,0.00222556404539505,0.00915134141693515,-1.11041039030575
"Mapt","Mapt","chr11",5387,"microtubule-associated protein tau","protein-coding",-2.67692504846707,-1.81289044607266,-4.29916801087238,0.00223115246656339,0.00915954172313159,-1.11126445804204
"Adam1b","Adam1b","chr5",2884,"a disintegrin and metallopeptidase domain 1b","protein-coding",3.86223469034091,-1.31467904165675,4.27802213720612,0.00229915956174834,0.00935807423687659,-1.11309258685251
"Itgb3","Itgb3","chr11",5781,"integrin beta 3","protein-coding",-3.04523145700649,0.972876705872293,-4.47751761086906,0.00173650142693557,0.00764049326182749,-1.11326767948211
"Abcg2","Abcg2","chr6",2491,"ATP binding cassette subfamily G member 2 (Junior blood group)","protein-coding",-5.31935345551631,0.843925563691614,-4.55979708349997,0.00167326252848897,0.00744706472932831,-1.1150809470331
"Gm2436","Gm2436","chr12",912,"predicted gene 2436","protein-coding",2.6413245305435,1.09039258848306,4.30315388580851,0.00221857684573084,0.00913440241508121,-1.11575828886245
"Gm20554","Gm20554","chr13",5099,"predicted gene, 20554","ncRNA",-5.30430454202597,-4.12311859595315,-6.93360172206437,0.00341526134924832,0.012423392171963,-1.11606170068933
"Fam234a","Fam234a","chr17",2863,"family with sequence similarity 234, member A","protein-coding",-2.04484296629544,2.44232021756512,-4.6020697941077,0.00146168768482685,0.00677295379936387,-1.11929177981698
"Tyw1","Tyw1","chr5",6626,"tRNA-yW synthesizing protein 1 homolog (S. cerevisiae)","protein-coding",1.04869189791788,5.57275061881883,4.81859441065566,0.0010892578353873,0.00551192185339508,-1.1197470958539
"Pcgf6","Pcgf6","chr19",2098,"polycomb group ring finger 6","protein-coding",1.90771871489295,5.53194574039184,4.72848944242178,0.00123004425942075,0.00597822732984471,-1.12245020770268
"Pank3","Pank3","chr11",7365,"pantothenate kinase 3","protein-coding",0.961030616864395,6.6499540139258,4.91390908918448,0.000959061883666075,0.00502226015842332,-1.12320765965468
"Psenen","Psenen","chr7",651,"presenilin enhancer gamma secretase subunit","protein-coding",1.34556651928643,4.07319993723548,4.58670003450863,0.00149291158052586,0.00686686591486237,-1.12443027945218
"Mgat5","Mgat5","chr1",3104,"mannoside acetylglucosaminyltransferase 5","protein-coding",1.72939009210723,3.45707851561876,4.48813947930841,0.00171102330568578,0.00756284606609266,-1.12454234638
"Gprin3","Gprin3","chr6",3100,"GPRIN family member 3","protein-coding",-6.54882067278212,-3.81768233660712,-6.78191190721103,0.00371728320452906,0.0132232007914858,-1.12617565996824
"Dnase1l1","Dnase1l1","chrX",1724,"deoxyribonuclease 1-like 1","protein-coding",-1.98626955330083,1.85562267282138,-4.52303422688413,0.00163011462842209,0.00730310798240392,-1.12677280871582
"Kpnb1","Kpnb1","chr11",5909,"karyopherin (importin) beta 1","protein-coding",1.10786420093559,9.5973695351124,4.95034967951097,0.000913821936109255,0.00485277078006376,-1.12732134562301
"Mak16","Mak16","chr8",1857,"MAK16 homolog","protein-coding",0.792810219346616,6.97887833528442,4.9280462619438,0.000941229547998008,0.00495382044316118,-1.13026871082228
"Gm15133","Gm15133","chr7",832,"predicted gene 15133","ncRNA",-3.49801406057593,-2.10326006886038,-4.28698640005821,0.00227006210519208,0.00927035483110987,-1.13191688719542
"Cdk12","Cdk12","chr11",8704,"cyclin-dependent kinase 12","protein-coding",0.850053183883915,6.69638248603087,4.91287036436676,0.000960386451323707,0.00502511521508358,-1.13351177941742
"Clk1","Clk1","chr1",3088,"CDC-like kinase 1","protein-coding",-1.31377652141287,6.62677291360715,-4.93492080973268,0.000932688082371379,0.00492419975077837,-1.13819421279312
"Tada2b","Tada2b","chr5",3791,"transcriptional adaptor 2B","protein-coding",1.34283237071504,5.53065185277759,4.7738844467026,0.00115680672165374,0.00572727341028202,-1.14000454793099
"Otos","Otos","chr1",704,"otospiralin","protein-coding",-2.98299581282524,-1.3983298728203,-4.29728099253754,0.00223713273938269,0.00917170156737216,-1.14051268194591
"Phykpl","Phykpl","chr11",1896,"5-phosphohydroxy-L-lysine phospholyase","protein-coding",2.08760967705292,5.45006793746168,4.6873753531042,0.00130070646077694,0.00620785459095128,-1.14108344834779
"Jag1","Jag1","chr2",5493,"jagged 1","protein-coding",-5.92521462412321,0.534322937431649,-4.52280585918103,0.00175918392313644,0.00770519139123025,-1.14125971365073
"Eif4b","Eif4b","chr15",3854,"eukaryotic translation initiation factor 4B","protein-coding",1.24940025177118,10.1570446716567,4.94040668619494,0.000925932188442251,0.0048991066653018,-1.14370709148545
"Rps12","Rps12","chr10",518,"ribosomal protein S12","protein-coding",1.73894459582781,6.16442708216097,4.81543636569395,0.0010938863909738,0.00552993708395809,-1.14445155474516
"Trdmt1","Trdmt1","chr2",2637,"tRNA aspartic acid methyltransferase 1","protein-coding",-1.17800405187395,3.15180626577445,-4.63027359843726,0.00140620650297023,0.00659001941453043,-1.14630326961709
"Nudt15","Nudt15","chr14",2592,"nudix (nucleoside diphosphate linked moiety X)-type motif 15","protein-coding",1.1662648077993,3.46363770646993,4.51032250963817,0.00165910157293469,0.0074010928299736,-1.14710808631536
"Pnpt1","Pnpt1","chr11",2704,"polyribonucleotide nucleotidyltransferase 1","protein-coding",1.17604853466692,6.71450253993201,4.89158296224067,0.000987972402557256,0.00513231760366282,-1.14805421257508
"Zc3h3","Zc3h3","chr15",3338,"zinc finger CCCH type containing 3","protein-coding",1.7594291208189,3.97790796818684,4.52650690777885,0.00162229088920302,0.00728011786024364,-1.14850661764385
"Ldhb","Ldhb","chr6",1290,"lactate dehydrogenase B","protein-coding",-5.40525354726201,-2.92181118543559,-4.27734498109624,0.00231221606586126,0.00939407254402346,-1.14860735379878
"Hira","Hira","chr16",4534,"histone cell cycle regulator","protein-coding",1.0988912441361,7.43403690639083,4.92016534375191,0.000951125683531106,0.00500201103345939,-1.15045131945465
"Gpr183","Gpr183","chr14",2942,"G protein-coupled receptor 183","protein-coding",-3.69032327650869,-2.3558661651042,-4.26634398473785,0.00233766726810806,0.00947838048040053,-1.15306309525343
"Wfs1","Wfs1","chr5",3564,"wolframin ER transmembrane glycoprotein","protein-coding",-3.21361850550766,1.68318043916516,-4.54369340307831,0.00161264199652141,0.00725800719636728,-1.15538188245571
"Pdzk1","Pdzk1","chr3",2463,"PDZ domain containing 1","protein-coding",1.34866003355045,3.13435774226681,4.45709878979282,0.00178663239991031,0.00779511348150605,-1.15650012149311
"Igsf23","Igsf23","chr7",1895,"immunoglobulin superfamily, member 23","protein-coding",-3.67448396645866,-3.67232091040864,-4.24219948307116,0.00241949103885894,0.00971868374937357,-1.15743070787812
"Gm16755","Gm16755","chr11",1104,"predicted gene, 16755","ncRNA",2.47958890967526,0.00606817233206262,4.24725396533219,0.0024021112365815,0.00967005630754241,-1.15938977791379
"Cd19","Cd19","chr7",2436,"CD19 antigen","protein-coding",-1.28724124634788,9.44628019544009,-4.93013762724572,0.000938622150575945,0.00494780120777285,-1.16158862754634
"Gpr173","Gpr173","chrX",3214,"G-protein coupled receptor 173","protein-coding",-5.04042258309117,-4.18690628292931,-6.84159039983135,0.00357233616882702,0.0128290988947437,-1.1628250963641
"Erg","Erg","chr16",2214,"ETS transcription factor","protein-coding",-8.63416129335454,1.28262966590134,-4.53456527888006,0.00173136410333053,0.00762285055067797,-1.16356832226267
